SPECIES,DATE,STATE,TIME,LOC,LAT,LONG,RECAP,BAND_PR,BAND_N,L,R,AGE,SEX,WT,FAT,BM,BILL_L,BILL_W,BILL_D,WING,TARS,TAIL,RFID,GEOLOCATOR_ID,FEEDER,BANDER,NOTES
PABU,2019-05-22,NC,1024,BHI,NA,NA,N ,2811,18500,B,A/B,AHY,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,01103F504E,BT282,BHI2,AJS,NA
PABU,2019-05-22,NC,1200,BHI,NA,NA,N,2811,18499,B,A/B,ASY,M,16.2,NA,NA,7.34,5,5.45,68,16.23,55,01103F7C39,BT212,BHI2,AJS,NA
PABU,2019-05-22,NC,1605,BHI,NA,NA,N ,2811,18498,B,A/B,ASY,M,NA,NA,NA,7.12,4.81,6.15,70,17.34,57,01103F7F6B,BT224,BHI2,AJS,NA
PABU,2019-05-22,NC,1619,BHI,NA,NA,N,2811,18497,B,A/B,ASY,M,NA,NA,NA,6.91,4.72,6.11,67,17.71,55,01103F83CC,BT208,BHI2,AJS,NA
PABU,2019-05-22,NC,1625,BHI,NA,NA,R,1831,45746,A/(Y/R),K/W,ASY,M,NA,NA,NA,8.25,4.74,6.57,70,15.78,56,NA,BT242,BHI2,AJS,LATER TOOK THIS GEO OFF AND REPLACED WITH BT232 BECAUSE IT WAS OFF CENTER. WILL DEPLOY 242 LATER
PABU,2019-05-22,NC,1631,BHI,NA,NA,N,2811,18496,B,A/B,ASY,M,NA,NA,NA,7.09,5.37,5.83,72,17.92,60,01103F3DEO,BT243,BHI2,AJS,NA
PABU,2019-05-23,NC,1440,BHI,NA,NA,N ,2811,18495,B,A/B,ASY,M,NA,NA,NA,6.93,4.85,5.86,68,16.57,56,01103F777D,BT240,BHI1,AJS,NA
PABU,2019-05-23,NC,1456,BHI,NA,NA,R,2000,81629,A/(R/Y),G,ASY,M,16.6,NA,NA,8.2,4.89,6.67,69,18.85,56,NA,BT219,BHI1,AJS,NA
PABU,2019-05-23,NC,1528,BHI,NA,NA,R,1831,45738,A/(Y/R),B,ASY,M,15.9,NA,NA,8.29,5.51,6.22,70,19.37,58,NA,BT225,BHI1,AJS,NA
PABU,2019-05-24,NC,815,BHI,NA,NA,N,2811,18494,B,A,SY,M,15.2,NA,NA,8.07,5.36,6.34,69,18.61,54,01103F78CA,NA,BH1,CJS,NA
PABU,2019-05-25,NC,804,BHI,NA,NA,R,2591,03885,B/G,(Y/R)/A,ASY,M,16.1,NA,NA,7.74,4.94,6.24,69,18.48,56,NA,BT231,BH2,AJS,NA
PABU,2019-05-25,NC,1815,BHI,NA,NA,N,2811,18493,B,A,SY,M,17.2,NA,NA,7.76,5.23,5.93,69,16.4,56,01103F409A,NA,BH1,AJS,NA
PABU,2019-05-26,NC,737,BHI,NA,NA,N ,2811,18492,B,A,SY,M,NA,NA,NA,7.22,4.39,5.42,70,16.79,53,01103F40A7,NA,BH3,AJS,NA
PABU,2019-05-26,NC,744,BHI,NA,NA,N,2811,18491,B,A,SY,M,15.3,NA,NA,7.62,4.92,6.33,65,18.04,51,01103F6313,NA,BH3,CJS,NA
PABU,2019-05-26,NC,756,BHI,NA,NA,N ,2811,18490,B,A/B,AHY,F,NA,NA,NA,7.83,4.91,5.29,66,16.64,51,01103F7AE7,BT268,BH3,AJS,NA
PABU,2019-05-26,NC,921,BHI,NA,NA,N,2811,18489,B,A/B,AHY,F,16.4,NA,NA,6.91,5.14,6.01,67,16.52,53,01103F5976,BT290,BH3,AJS,NA
PABU,2019-05-26,NC,1700,BHI,NA,NA,R,1831,45746,A/(Y/R),K/W,ASY,M ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BT232,BH3,AJS,"RECAP, GEO WAS OFF-CENTER SO WE CUT OFF BT242 AND REPLACED WITH BT 232"
PABU,2019-05-26,NC,1723,BHI,NA,NA,R,2511,40532,A/(Y/R),GRAY,ASY,M,16.8,NA,NA,7.98,4.7,5.79,72,18.26,56,NA,NA,BH3,AJS,"MISSING ALL TOES ON R, NO GEO APPLIED"
PABU,2019-05-27,NC,750,BHI,NA,NA,N ,2811,18488,B,A/B,AHY,F,15.5,NA,NA,6.78,5.43,4.27,62,16.33,50,01103F5CF0,BT275,BH4,AJS,NA
PABU,2019-05-27,NC,815,BHI,NA,NA,N,2811,18487,B,A,SY,M,16.5,NA,NA,7.15,5.78,5.02,68,17.12,55,01103F6B40,NA,BH4,AJS,NA
PABU,2019-05-27,NC,832,BHI,NA,NA,N ,2811,18486,B,A,SY,M,16.5,NA,NA,7.85,5.19,6.22,67,19.02,54,01103F51CA,NA,BH4,CJS,NA
PABU,2019-05-27,NC,843,BHI,NA,NA,N,2811,18485,B,A,SY,M,16.7,NA,NA,8.3,5.7,6.55,68,18.48,58,01103F84F7,NA,BH4,CJS,NA
PABU,2019-05-27,NC,847,BHI,NA,NA,N ,2811,18484,B,A/B,ASY,M,16.6,NA,NA,7.09,4.97,5.07,69,16.82,59,01103F8DA9,BT242,BH4,AJS,THIS GEO WAS CUT OFF A BIRD YESTERDAY AND REAPPLIED TODAY
PABU,2019-05-27,NC,923,BHI,NA,NA,N,2811,18483,B,A/B,ASY,M,16.3,NA,NA,7.75,5.32,6.45,72,18.31,57,01103F573D,BT250,BH4,AJS,FEMALE GEO ON MALE; 
PABU,2019-05-27,NC,1004,BHI,NA,NA,N ,2811,18482,B,A,SY,M,16.1,NA,NA,7.31,5.02,6.56,69,19.59,55,01103F4E5F,NA,BH4,CJS,NA
PABU,2019-05-27,NC,1043,BHI,NA,NA,N,2811,18481,B,A,SY,M,14.8,NA,NA,7.77,4.83,6.06,66,18.86,59,01103F8146,NA,BH4,CJS,"RECENTLY HEALED INJURY ON SCALP, DOUBLE-CHECKED WEIGHT"
PABU,2019-05-27,NC,1150,BHI,NA,NA,N ,2811,18480,B,A/B,AHY,F,16.4,NA,NA,7.64,5.22,6.17,64,17.81,51,01103F8D51,BT255,BH4,AJS,NA
PABU,2019-05-27,NC,1530,BHI,NA,NA,N,2811,18479,B,A,SY,M,17.8,NA,NA,8.32,5.33,6.22,69,19.06,54,01103F7AC3,NA,BH1,CJS,NA
PABU,2019-05-27,NC,1732,BHI,NA,NA,N ,2811,18478,B,A/B,ASY,M,15.6,NA,NA,7.49,4.69,6.16,68,17.72,55,01103F4440,BT277,BH1,AJS,"FEMALE GEO ON MALE, HAD SOME SKIN DISEASE ON SCALP"
PABU,2019-05-28,NC,750,BHI,NA,NA,R,2521,33215,Y,A/R,ASY,F,15.1,NA,NA,6.98,4.46,5.76,66,16.38,52,NA,BT274,BH2,AJS,NA
PABU,2019-05-29,SC,910,SPIS,NA,NA,N ,2811,18477,R,A/R,AHY,F,15.3,NA,NA,7,4.73,5.54,67,19,57,01103F6805,BT251,NACE,AJS,NA
PABU,2019-05-29,SC,1047,SPIS,NA,NA,N,2811,18476,R,R/A,AHY,F,14.9,NA,NA,9.21,5.17,6.09,65,17.52,52,01103F4A5A,BT288,NACE,AJS,NA
PABU,2019-05-29,SC,1202,SPIS,NA,NA,N ,2811,18475,R,R/A,ASY,F,14.8,NA,NA,7.71,5.19,5.76,64,NA,57,01103F879A,BT289,NACE,AJS,NA
PABU,2019-05-29,SC,1615,SPIS,NA,NA,R,2521,44800,R,R/A,ASY,F,14.2,NA,NA,7.62,4.1,5.24,65,17.7,50,01103F6A91,BT254,NACE,AJS,NA
PABU,2019-05-29,SC,1630,SPIS,NA,NA,N ,2811,18474,R,A,SY,M,15.3,NA,NA,NA,NA,NA,NA,NA,NA,01103F8B8B,NA,NACE,CJS,PROCESSED QUICKLY SO WE COULD WORK ON THE GEO BIRD
PABU,2019-05-30,SC,800,SPIS,NA,NA,N,2811,18473,R,A,SY,F,16.7,NA,NA,7.1,4.16,5.6,64,16.46,54,01103F78DA,NA,WEST,AJS,NA
PABU,2019-05-30,SC,814,SPIS,NA,NA,N ,2811,18472,R,A,SY,M,14.9,NA,NA,8.47,6.38,6.47,68,18.67,55,01103F595A,NA,WEST,CJS,NA
PABU,2019-05-30,SC,850,SPIS,NA,NA,N,2811,18471,R,A,SY,M,14.4,NA,NA,8.03,4.96,6.36,68,17.94,59,01103F5316,NA,WEST,CJS,NA
PABU,2019-05-30,SC,908,SPIS,NA,NA,N ,2811,18470,R,R/A,ASY,F,17.1,NA,NA,7.53,4.96,5.72,66,18.35,53,01103F5F38,BT293,WEST,AJS,NA
PABU,2019-05-30,SC,920,SPIS,NA,NA,N,2811,18469,R,R/A,AHY,F,15.7,NA,NA,6.91,5.09,6.41,64,16.89,52,01103F6741,BT278,WEST,AJS,NA
PABU,2019-05-30,SC,938,SPIS,NA,NA,N ,2811,18468,R,R/A,ASY,F,14.2,NA,NA,7.69,5.1,5.68,65,18,54,01103F88AC,BT260,WEST,AJS,NA
PABU,2019-05-30,SC,1002,SPIS,NA,NA,R,2631,02685,R,R/A,ASY,F,14.1,NA,NA,8.24,4.97,5.85,67,17.61,59,01103F5890,BT299,WEST,AJS,BLUE BODY FEATHERS
PABU,2019-05-30,SC,1007,SPIS,NA,NA,R,2631,02696,R,R/A,ASY,F,14.6,NA,NA,7.4,5.27,6.03,66,17.42,53,01103F5ACB,BT264,WEST,AJS,NA
PABU,2019-05-30,SC,1013,SPIS,NA,NA,R,2631,02686,R,A,ASY,F,15.3,NA,NA,8.79,5.24,6.08,66,19.08,53,01103F820D,NA,WEST,CJS,NA
PABU,2019-05-30,SC,1328,SPIS,NA,NA,N ,2811,18467,R,A,SY,M,14.8,NA,NA,8.26,4.68,6.17,66,18.58,60,01103F854F,NA,WEST,CJS,PEANUT
PABU,2019-05-30,SC,1520,SPIS,NA,NA,R,2631,02690,R/A,A,ASY,M,16.4,NA,NA,8.16,4.5,5.81,71,17.38,55,01103F81E9,BT216,WEST,AJS,BALDY
PABU,2019-05-31,SC,912,SPIS,NA,NA,N ,2811,18466,R,A,SY,M,15.6,NA,NA,8.8,5.18,6.78,68,19.35,58,01103F8C74,NA,COOP,CJS,NA
PABU,2019-05-31,SC,1755,SPIS,NA,NA,N,2811,18465,R,A,SY,F,15.9,NA,NA,7.95,5.5,5.92,66,17.98,59,01103F525E,NA,NACE,CJS,NA
PABU,2019-05-31,SC,1800,SPIS,NA,NA,N ,2811,18464,R,A,SY,M,16.5,NA,NA,8.39,5.79,6.45,67,19.61,59,01103F62DA,NA,NACE,CJS,NA
PABU,2019-05-31,SC,1805,SPIS,NA,NA,R,2521,44795,R/A,R,ASY,M,15.7,NA,NA,7.91,4.6,5.91,70,18.66,55,01103F5DCA,BT285,NACE,AJS,"ADDED R OVER A, recovered BN959"
PABU,2019-05-31,SC,1905,SPIS,NA,NA,R,2521,44772,R/A,R,ASY,M,16.3,NA,NA,7.22,4.25,6.5,70,16.56,56,01103F4449,BT234,NACE,AJS,"ADDED R OVER A, recovered BP038"
